invoice_reference,sku,description,quantity,uom
5261520051,SVACHH-SS-POP-2L,Svachh SS Popular 2L Pressure Cooker,2,Nos
5261520051,SVACHH-SS-POP-1.5L,Svachh SS Popular 1.5L Pressure Cooker,3,Nos
5261520051,DLX-ALPHA-SVACHH-5.5L,DLX Alpha Svachh 5.5L Pressure Cooker,1,Nos
5261520051,PRESTIGE-CI-TAWA,Prestige Cast Iron Tawa,2,Nos
5261520051,OMEGA-SLT-PLUS-FP,Omega SLT Plus Fry Pan,2,Nos
5261520051,TRIPLY-TADKA-110,Prestige Triply Dia 110mm Tadka Pan,3,Nos
5261520051,TRIPLY-SPLENDID-32,Prestige Triply Splendid 32cm Kadai,1,Nos
5261520051,VECTRA-GLASTOP-3B,Prestige Vectra Glasstop 3 Burner,1,Nos
5261520051,ENDURA-3J-MIXER,Prestige Endura 3 Jar Mixer Grinder,1,Nos
5261520051,PRISM-PLUS-1000W,Prestige Prism Plus 1000W 3 Jar Mixer,1,Nos
5261520479,KETTLE-1.5L-SS,Prestige Kettle 1.5L Stainless Steel,5,Nos
5261520479,PIC-20-IND-1600W,Prestige PIC 20 Induction 1600W,3,Nos
5261520479,PIC-15-PLUS-IND,Prestige PIC 15.0 Plus Induction Cooktop,4,Nos
5261520479,NUTRIFRY-DIGI-4.5L,Prestige NutriFry Digital Air Fryer 4.5L,2,Nos
5261520479,JUDGE-INSTA-AF-4L,Judge Insta Air Fryer 4L,2,Nos
5261520479,ENDURA-1000W-MIX,Prestige Endura 1000W Mixer Grinder,3,Nos
5261520470,SVACHH-HA-3.5L-PAN,Svachh HA 3.5L Pressure Pan,4,Nos
TND2-0002,KETTLE-1.5L-SS,Prestige Kettle 1.5L Stainless Steel,10,Nos
TND2-0002,PIC-20-IND-1600W,Prestige PIC 20 Induction 1600W,5,Nos
TND2-0002,NUTRIFRY-DIGI-4.5L,Prestige NutriFry Digital Air Fryer 4.5L,3,Nos
